gem.code;Naam;Adres;Postcode;Plaats
1669;Roerdalen;Postbus 6099;6077 ZH;St. Odiliënberg
957;Roermond;Postbus 900;6040 AX;Roermond
1674;Roosendaal;Postbus 5000;4700 KA;Roosendaal
599;Rotterdam;Postbus 70013;3000 KR;Rotterdam
277;Rozendaal;Postbus  9106;6880 HH;Velp
840;Rucphen;Postbus 9;4715 ZG;Rucphen
441;Schagen;Postbus 8;1740 AA;Schagen
279;Scherpenzeel;Postbus 100;3925 ZJ;Scherpenzeel
606;Schiedam;Postbus 1501;3100 EA;Schiedam
88;Schiermonnikoog;Postbus 20;9166 ZP;Schiermonnikoog
962;Schinnen;Postbus 50;6365 ZH;Schinnen
1676;Schouwen-Duiveland;Postbus 5555;4300 JA;Zierikzee
965;Simpelveld;Postbus 21000;6369 ZG;Simpelveld
1702;Sint Anthonis;Postbus 40;5845 ZG;Sint Anthonis
845;Sint-Michielsgestel;Postbus 10000;5270 GA;Sint-Michielsgestel
1883;Sittard-Geleen;Postbus 18;6130 AA;Sittard
610;Sliedrecht;Postbus 16;3360 AA;Sliedrecht
40;Slochteren;Postbus 13;9620 AA;Slochteren
1714;Sluis;Postbus 27;4500 AA;Oostburg
90;Smallingerland;Postbus 10000;9200 HA;Drachten
342;Soest;Postbus 2000;3760 CA;Soest
847;Someren;Postbus 290;5710 AG;Someren
848;Son en Breugel;Postbus 8;5690 AA;Son
37;Stadskanaal;Postbus 140;9500 AC;Stadskanaal
180;Staphorst;Postbus 2;7950 AA;Staphorst
532;Stede Broec;Postbus 20;1610 AA;Bovenkarspel
851;Steenbergen;Postbus 6;4650 AA;Steenbergen
1708;Steenwijkerland;Postbus 162;8330 AD;Steenwijk
971;Stein;Postbus 15;6170 AA;Stein
1904;Stichtse Vecht;Postbus 1212;3600 BE;Maarssen
617;Strijen;Postbus 5881;3290 EA;Strijen
1900;Súdwest-Fryslân;Postbus 10000;8600 HA;Sneek
9;Ten Boer;Postbus 7;9790 AA;Ten Boer
715;Terneuzen;Postbus 35;4530 AA;Terneuzen
93;Terschelling;Postbus 14;8880 AA;West-Terschelling
448;Texel;Postbus 200;1790 AE;Den Burg
1525;Teylingen;Postbus 149;2215 ZJ;Voorhout
716;Tholen;Postbus 51;4690 AB;Tholen
281;Tiel;Postbus 6325;4000 HH;Tiel
